timestamp	message	user_id
2019-01-01 00:00:00	Access granted	7622770
2019-01-01 00:38:15	Access denied	4119375
2019-01-01 00:43:02	Access denied	9607443
2019-01-01 01:21:46	Access granted	6824460
2019-01-01 02:21:24	Access denied	8923991
2019-01-01 03:01:00	Access granted	2955917
2019-01-01 03:58:18	Access denied	3806955
2019-01-01 04:49:06	Access granted	4003520
2019-01-01 05:32:57	Access granted	6939858
2019-01-01 06:30:27	Access granted	7532577
2019-01-01 07:03:50	Access granted	1557341
2019-01-01 07:42:01	Access granted	8158737
2019-01-01 08:35:00	Access denied	1837272
2019-01-01 09:34:06	Access granted	4039249
2019-01-01 10:16:16	Access granted	1610678
2019-01-01 10:21:31	Access granted	4885899
2019-01-01 11:01:02	Access granted	8310502
2019-01-01 11:38:54	Access granted	2704451
2019-01-01 12:01:48	Access granted	9218794
2019-01-01 13:01:32	Access granted	2565331
2019-01-01 13:14:33	Access denied	4609303
2019-01-01 13:40:18	Access granted	5948256
2019-01-01 14:33:25	Access denied	3070686
2019-01-01 15:18:45	Access granted	1235912
2019-01-01 16:13:14	Access granted	4776116
2019-01-01 16:54:51	Access denied	1301986
2019-01-01 17:42:29	Access granted	6464778
2019-01-01 18:25:04	Access granted	8837500
2019-01-01 18:35:43	Access granted	2000028
2019-01-01 18:48:07	Access granted	3719697
2019-01-01 19:34:36	Access denied	2596695
2019-01-01 19:48:50	Access granted	3008157
2019-01-01 20:15:39	Access denied	3779915
2019-01-01 20:51:30	Access granted	1332669
2019-01-01 21:15:28	Access denied	7910363
2019-01-01 22:14:12	Access denied	8057770
2019-01-01 22:36:03	Access granted	4495812
2019-01-01 23:07:12	Access granted	3831047
2019-01-01 23:47:14	Access denied	8149639
2019-01-02 00:20:47	Access granted	4468120
2019-01-02 01:03:01	Access granted	2425427
2019-01-02 01:19:44	Access granted	1804852
2019-01-02 01:59:47	Access granted	2360929
2019-01-02 02:19:29	Access granted	1311332
2019-01-02 02:56:58	Access granted	3072919
2019-01-02 03:54:45	Access granted	4725897
2019-01-02 04:11:33	Access granted	8408419
2019-01-02 04:45:47	Access granted	5192502
2019-01-02 04:49:47	Access denied	3242341
2019-01-02 05:45:46	Access granted	3414273
2019-01-02 06:36:48	Access granted	7499268
2019-01-02 06:46:04	Access granted	3087921
2019-01-02 07:37:11	Access granted	5678747
2019-01-02 07:38:49	Access denied	4144776
2019-01-02 08:34:38	Access granted	9059082
2019-01-02 08:45:47	Access denied	8234268
2019-01-02 09:31:09	Access denied	4026936
2019-01-02 09:39:48	Access granted	1858902
2019-01-02 10:18:49	Access granted	4917144
2019-01-02 11:13:10	Access granted	3177454
2019-01-02 11:43:35	Access granted	3967444
2019-01-02 12:23:39	Access granted	2402376
2019-01-02 12:56:40	Access denied	8818939
